productId,customerId,rating,comment,date
27,58,3,The staff was rude and inattentive.,20220910
48,42,7,"The flavors were okay, but they didn’t wow me.",20241128
36,57,4,The staff was rude and inattentive.,20230228
50,46,4,The service was chaotic and disorganized.,20240930
63,36,7,"The service was okay, but it could have been faster.",20230601
1,56,8,"It was cooked to perfection, al dente!",20220506
8,96,8,The restaurant exceeded my expectations in every way.,20230816
27,53,2,The restaurant was cramped and uncomfortable.,20221016
37,36,3,It was forgettable and not worth recommending.,20220129
61,98,9,It was heavenly and melted in my mouth.,20240719
45,39,4,The ambiance was dull and uninviting.,20230216
36,62,7,"It was good, but slightly overcooked.",20221125
62,29,8,"It was rich and aromatic, just perfect.",20220205
31,83,8,The staff was knowledgeable about the menu and made great recommendations.,20230325
71,66,3,It was tough and hard to chew.,20230703
48,67,5,"The staff was okay, but they seemed a bit rushed.",20220722
35,85,9,It was juicy and packed with flavor.,20240406
3,9,10,The ambiance of the restaurant was cozy and inviting.,20230510
37,33,4,The restaurant was dirty and poorly maintained.,20241014
68,1,3,The service was slow and unprofessional.,20231102
71,54,10,It was creamy and had a rich flavor.,20220103
62,25,3,It was overcooked and mushy.,20230920
55,33,5,"It was good, but it felt a bit overpriced.",20230213
81,52,10,"It was worth every penny, great value for money.",20220716
49,61,10,It were creative and expertly crafted.,20230517
42,6,6,"It was fine, but it wasn’t very fresh.",20240823
31,69,6,"The restaurant was nice, but it felt a bit crowded.",20230412
56,72,1,The portion sizes were too small for the price.,20220731
73,18,4,The service was inattentive and frustrating.,20220331
27,60,7,"The service was fine, but it could have been more friendly.",20220529
14,88,9,The service was attentive without being intrusive.,20221005
29,95,4,It tasted off and wasn’t fresh.,20240130
13,5,5,"It was decent, but nothing extraordinary.",20240417
16,36,10,The service was attentive without being intrusive.,20230305
12,44,4,It was tough and hard to chew.,20220711
33,77,9,The flavors were well-balanced and complemented each other.,20220401
61,89,5,"The service was fine, but it could have been more friendly.",20221209
1,63,4,The service was inattentive and frustrating.,20231109
13,12,9,It was fresh and beautifully presented.,20230723
1,55,6,"The ambiance was fine, but it felt a bit generic.",20240101
58,72,3,The service was slow and unprofessional.,20220719
81,74,1,The chef didn’t seem to put much effort into the dishes.,20230130
23,21,4,It were watered down and disappointing.,20230103
26,27,4,It were poorly made and tasted bad.,20230828
59,8,8,It was fresh and beautifully presented.,20221003
5,16,4,Its platter was disappointing and lacked creativity.,20230906
56,20,2,It took too long to arrive and wasn’t worth the wait.,20240828
49,1,3,Its platter was disappointing and lacked creativity.,20220313
69,23,7,"The ambiance was nice, but the music was a bit loud.",20220623
21,28,2,The staff was rude and inattentive.,20240430
14,56,4,It took too long to arrive and wasn’t worth the wait.,20230630
67,92,9,The restaurant exceeded my expectations in every way.,20231107
58,21,10,"It was warm and comforting, just what I needed.",20240708
55,23,10,The service was attentive without being intrusive.,20230726
41,34,10,"It was warm and comforting, just what I needed.",20220211
26,52,5,"The flavors were okay, but they didn’t wow me.",20240810
12,75,2,It were poorly made and tasted bad.,20220421
30,95,9,The ingredients tasted fresh and high-quality.,20240908
51,84,10,"It was rich and aromatic, just perfect.",20220419
67,24,9,It was fresh and beautifully presented.,20220916
31,7,9,It was heavenly and melted in my mouth.,20230510
69,71,2,It was too greasy and heavy.,20241211
69,12,5,"It was good, but slightly overcooked.",20231112
71,18,3,It were watered down and disappointing.,20240525
63,27,3,It was overly sweet and artificial-tasting.,20220703
67,19,10,The service was attentive without being intrusive.,20220527
55,93,9,The portion sizes were generous and satisfying.,20231022
59,22,5,"The service was fine, but it wasn’t very memorable.",20231123
4,5,1,The service was slow and unprofessional.,20220219
4,11,6,"The menu had a decent variety, but nothing stood out.",20220616
11,89,4,The staff was unprofessional and unwelcoming.,20220721
57,69,6,"The service was okay, but it could have been faster.",20220222
20,46,6,"The flavors were okay, but they didn’t wow me.",20220824
65,83,5,"It were fine, but they took too long to arrive.",20230822
34,21,2,The staff was rude and inattentive.,20240903
37,63,9,It was heavenly and melted in my mouth.,20221105
23,98,5,"It was fine, but the dressing was too heavy.",20220328
41,49,8,It were refreshing and perfectly balanced.,20241104
56,60,1,It were watered down and disappointing.,20220411
1,85,5,"It was okay, but it didn’t leave a lasting impression.",20230519
49,45,6,"It were fine, but a bit too sweet for my taste.",20240111
67,36,9,The menu had a great variety of options to choose from.,20240409
49,73,2,The service was chaotic and disorganized.,20240425
20,35,9,It was fresh and beautifully presented.,20231021
48,85,1,Its platter was disappointing and lacked creativity.,20230928
22,74,7,"The flavors were fine, but they didn’t feel authentic.",20220327
71,92,1,The staff was unprofessional and unwelcoming.,20220419
53,27,4,The service was inattentive and frustrating.,20240731
80,46,1,The restaurant was dirty and poorly maintained.,20220915
9,8,5,"It was cooked well, but it lacked seasoning.",20220407
16,51,5,"The restaurant had a decent menu, but it wasn’t very unique.",20241218
16,72,9,It was absolutely delicious and full of flavor!,20230620
81,94,5,"The service was fine, but it wasn’t very memorable.",20221230
71,61,8,The flavors were well-balanced and complemented each other.,20241122
25,49,4,The portion sizes were too small for the price.,20240329
35,32,3,The portion sizes were too small for the price.,20221017
52,80,5,"The flavors were fine, but they didn’t feel authentic.",20221216
67,74,5,"The staff was polite, but not very attentive.",20230902
21,3,4,The service was inattentive and frustrating.,20220925
48,93,9,The restaurant had a unique and creative menu.,20230315
