product_id,product_category,product_type,product_name,product_description,rating,unit_price,image,discount,state
1,Coffee beans,Organic Beans,Brazilian - Organic,It's like Carnival in a cup. Clean and smooth.,7.6,14.4,,0,available
2,Coffee beans,House blend Beans,Our Old Time Diner Blend,Out packed blend of beans that is reminiscent of the cup of coffee you used to get at a diner.,7.4,14.4,,0,available
3,Coffee beans,Espresso Beans,Espresso Roast,Our house blend for a good espresso shot.,7.5,11.8,,0,available
4,Coffee beans,Espresso Beans,Primo Espresso Roast,Our primium single source of hand roasted beans.,7.4,16.36,,0,available
5,Coffee beans,Gourmet Beans,Columbian Medium Roast,A smooth cup of coffee any time of day.,7.7,12.0,,0,available
6,Coffee beans,Gourmet Beans,Ethiopia,From the home of coffee.,7.4,16.8,,0,available
7,Coffee beans,Premium Beans,Jamacian Coffee River,"Ya man, it will start your day off right. ",7.6,15.8,,0,available
8,Coffee beans,Premium Beans,Civet Cat,"The most expensive coffee in the world, the cats do all the work. ",7.3,36.0,,0,available
9,Coffee beans,Organic Beans,Organic Decaf Blend,Our blend of hand picked organic beans that have been naturally decaffinated.,7.5,18.0,,0,available
10,Coffee beans,Green beans,Guatemalan Sustainably Grown,Green beans you can roast yourself.,7.4,8.0,,0,available
11,Loose Tea,Herbal tea,Lemon Grass,You will think you are Thailand as you sip your cuppa.,7.6,7.16,,0,available
12,Loose Tea,Herbal tea,Peppermint,Cool and refreshing to help calm your nerves.,7.5,7.16,,0,available
13,Loose Tea,Black tea,English Breakfast,The traditional cup to start your day.,7.5,7.16,,0,available
14,Loose Tea,Black tea,Earl Grey,A full leaf of Orange Pekoe blended with organic oil of bergamot.,7.6,7.16,,0,available
15,Loose Tea,Green tea,Serenity Green Tea,Mountain grown and harvested at the optimal time.,7.3,7.4,,0,available
16,Loose Tea,Chai tea,Traditional Blend Chai,A traditional blend.,7.7,7.16,,0,available
17,Loose Tea,Chai tea,Morning Sunrise Chai,Fair trade and organic and has a warm finish.,7.7,7.6,,0,available
